Stemmed User Reviews,Labels
"[('excruciatingli', 'NN'), ('aw', 'NN')]",-1
"[('happen', 'VB')]",0
"[('worst', 'JJS'), ('one', 'CD'), ('yet', 'RB')]",-1
"[('fast', 'RB'), ('x', 'NN')]",0
"[('liter', 'NN'), ('thought', 'VBD'), ('parodi', 'RB'), ('skit', 'JJ'), ('snl', 'NN')]",-1
"[('need', 'NN'), ('stop', 'VB')]",-1
"[('comic', 'JJ'), ('bad', 'JJ')]",-1
"[('aveng', 'JJ'), ('meet', 'NN'), ('fast', 'JJ'), ('furiou', 'NN'), ('everyth', 'NN'), ('goe', 'NN'), ('wrong', 'JJ')]",-1
"[('toretto', 'JJ'), ('start', 'NN'), ('play', 'NN'), ('rocket', 'NN'), ('leagu', 'NN'), ('middl', 'NN'), ('itali', 'NN')]",0
"[('jason', 'NN'), ('momoa', 'RBS'), ('give', 'VB'), ('one', 'CD'), ('embarrass', 'NN'), ('perform', 'NN'), ('film', 'NN'), ('histori', 'NN')]",-1
"[('void', 'NN'), ('car', 'NN'), ('action', 'NN')]",-1
"[('ca', 'MD'), ('nt', 'VB'), ('wait', 'NN'), ('franchis', 'NN')]",-1
"[('famili', 'NN')]",0
"[('could', 'MD'), ('nt', 'VB'), ('even', 'RB'), ('put', 'VB'), ('effort', 'NN'), ('better', 'JJR'), ('titl', 'NN')]",-1
"[('total', 'JJ'), ('disrespect', 'NN'), ('fan', 'NN')]",-1
"[('absolut', 'NN'), ('piec', 'NN'), ('crap', 'NN'), ('even', 'RB'), ('end', 'VB')]",-1
"[('weak', 'JJ'), ('fantasi', 'NN'), ('car', 'NN')]",-1
"[('entertain', 'VB'), ('part', 'NN'), ('movi', 'NN'), ('chatgpt', 'NN'), ('1010', 'CD'), ('review', 'NN')]",-1
"[('heck', 'NN')]",-1
"[('bad', 'JJ')]",-1
"[('end', 'NN'), ('road', 'NN'), ('begin', 'NN'), ('badli', 'NN')]",-1
"[('left', 'VBN'), ('furiou', 'NN')]",-1
"[('miss', 'JJ'), ('old', 'JJ'), ('fast', 'NN'), ('furiou', 'NN')]",-1
"[('even', 'RB'), ('f', 'JJ'), ('f', 'NN'), ('s', 'NN'), ('mess', 'NN')]",-1
"[('keep', 'VB'), ('get', 'NN'), ('worst', 'JJS'), ('worst', 'NN')]",-1
"[('refresh', 'JJ'), ('take', 'VB'), ('action', 'NN'), ('thriller', 'NN')]",1
"[('pulsat', 'NN'), ('romanc', 'NN'), ('thriller', 'NN')]",1
"[('definit', 'NN'), ('interest', 'NN'), ('suspens', 'VBZ'), ('movi', 'JJ'), ('lack', 'NN'), ('brillianc', 'NN'), ('hope', 'NN')]",1
"[('great', 'JJ'), ('look', 'NN'), ('dull', 'JJ'), ('dishwat', 'NN')]",0
"[('plotlov', 'NNS'), ('need', 'VBP'), ('look', 'VBP'), ('elsewher', 'RB')]",-1
"[('averag', 'NN')]",0
"[('unabl', 'JJ'), ('endur', 'NN'), ('boredom', 'NN'), ('work', 'NN')]",-1
"[('bore', 'RB'), ('movi', 'JJ'), ('s', 'JJ'), ('style', 'NN'), ('substanc', 'NN')]",-1
"[('incred', 'VBN'), ('slow', 'JJ'), ('predict', 'NN'), ('noth', 'DT'), ('ordinari', 'NN')]",-1
"[('s', 'NNS'), ('fine', 'VBP')]",0
"[('yeah', 'NN'), ('nah', 'NN')]",-1
"[('empathi', 'NN'), ('weak', 'JJ')]",0
"[('vacuou', 'NN'), ('unnecessari', 'NN')]",-1
"[('portrait', 'NN'), ('psychopath', 'NN')]",0
"[('bore', 'RB'), ('death', 'NN')]",-1
"[('dreari', 'NN')]",-1
"[('someth', 'NNS'), ('s', 'VBP'), ('miss', 'NN')]",-1
"[('assassin', 'NN'), ('ve', 'NN'), ('seen', 'VBN'), ('great', 'JJ'), ('director', 'NN')]",0
"[('overr', 'NN')]",-1
"[('anoth', 'DT'), ('winner', 'NN'), ('fincher', 'NN')]",1
"[('fun', 'NN'), ('ride', 'VB'), ('escal', 'JJ')]",-1
"[('slick', 'JJ'), ('smart', 'NN'), ('slim', 'NN')]",1
"[('empti', 'NN')]",-1
"[('cowbel', 'NN'), ('less', 'JJR'), ('narrat', 'JJ')]",0
"[('yawn', 'NN'), ('blood', 'NN'), ('yawn', 'NN'), ('gore', 'NN'), ('yawn', 'NN')]",-1
"[('complet', 'NN'), ('underwhelm', 'JJ'), ('slick', 'JJ'), ('product', 'NN'), ('foil', 'NN'), ('weak', 'JJ'), ('stori', 'NN')]",-1
"[('uniqu', 'JJ'), ('thriller', 'NNS'), ('say', 'VBP'), ('least', 'JJS')]",1
"[('re', 'NN'), ('mission', 'NN')]",0
"[('s', 'NN'), ('blue', 'NN')]",0
"[('one', 'CD'), ('favourit', 'NN'), ('movi', 'NN')]",1
