,Reviews,Labels
0,"['best', 'romant', 'film', 've', 'ever', 'seen']",1
1,"['intrigu', 'adventur', '', 'still', 'miss', 'littl', 'someth', '']",1
2,"['movi', 'fan', 'servic', 'experi', 'futur', 'film']",1
3,"['almost', 'good', '2011', 'movi', '']",-1
4,"['soni', 'need', 'stop', 'make', 'superhero', 'content']",-1
5,"['review', 'got', 'delet', '', '', 'said', 'bad', '', '']",0
6,"['ordinari', '', 'noth', 'extra']",0
7,"['ok', '', 'll', 'confess', '', 'movi', 'definit', 'junk', 'food', 'mind', '', 'like', 'eat', 'twinki', '', 'fun', 'watch']",0
8,"['miss', 'old', 'fast', 'furiou']",-1
9,"['loud', '', 'dumb', 'execut', 'enough', 'flair', 'momentum', 'bore', '', 'hitman', '', 'reboot', 'passabl', 'divers']",0
10,"['stoic', '', 'haunt', 'tale', 'surviv']",0
11,"['good', 'fast', 'pace', 'action', 'movi', '']",1
12,"['cute', 'littl', 'movi']",1
13,"['spi', 'satir', 'gamestyl', 'stori']",1
14,"['one', 'best', 'sequel', 'ever', 'made']",0
15,"['speed', '2', '', 'snooz', 'control']",-1
16,"['liter', 'thought', 'parodi', 'skit', 'snl', '']",-1
17,"['panach', 'elan']",0
18,"['krypto', 'movi', 'need', 'made']",1
19,"['insult', 'millennium', 'seri']",-1
20,"['still', 'good', '', 'good', '']",0
21,"['good', 'idea', '', 'aw', 'execut']",0
22,"['good', 'peopl', '', 'stori', '', 'money', '', '', '', '5', 'stori', 'adapt']",-1
23,"['bold', 'imagin', 'beauti', 'execut', 'exhilar', 'car', 'chase', 'ever', 'done', 'film', 'make', 'unequivoc', 'franchis', 'best', 'thu', 'far']",1
24,['guess'],0
25,"['milli', 'usual', 'good', 'job', 'transfix', 'viewer', 'keep', 'entertain', '']",1
26,"['pygmalionstein', '']",0
27,"['messi', 'web', 'mediocr']",-1
28,"['throw', 'thing', 'wall', 'bad']",-1
29,"['along', 'tim', 'burton', 's', 'batman', 'return', 'best', 'batman', 'movi', 'date', '']",1
30,"['ye', 'stupid', 'funni', '']",0
31,"['funni', 'nostalg', 'adventur']",1
32,"['hilari', '', 'stupid', '', 'lot', 'fun', '']",1
