Title,User Reviews
Fast X,"['Excruciatingly Awful', 'What Happened?', 'The worst one yet.', 'Fast X', 'I literally thought this was a parody skit off of SNL!', 'They need to stop', 'its comically bad', 'When ""Avengers"" meets ""Fast and the furious"" everything goes wrong', 'Toretto just started playing Rocket League in the middle of Italy.', 'Jason Momoa gives one of the most embarrassing performances in film history', 'Void In between car action', ""Can't wait for the franchise to be over!"", 'Because... Family', ""They couldn't even put the effort into a better title"", 'Total disrespect for the fans', 'Absolute piece of crap that not even ends!!!', 'Weak fantasy with cars', 'The most entertaining part of this movie are the ChatGPT 10/10 reviews', 'What the heck', 'How bad!', 'The end of the road begins badly', 'Left me furious', 'I miss the old Fast and Furious', ""Even for F + F, it's a Mess"", 'This keeps getting worst and worst.']"
Love Lies Bleeding,"['Refreshing take on action thriller', 'A pulsating romance thriller']"
The Killer,"['Definitely an interesting and suspenseful movie, but lacking in the brilliance I had hoped for...', 'Great looking, but dull as dishwater.', 'Plot-Lovers Will Need To Look Elsewhere', 'Average', '""If you are unable to endure boredom, this work is not for you.""', ""Boring movie that's more style over substance"", 'Incredibly slow, predictable and nothing out of the ordinary.', ""It's...fine?"", 'Yeah, nah.', 'Empathy is Weakness', 'Vacuous and unnecessary', 'Portrait of a psychopath.', 'Just bore them to death', 'Dreary', ""Something 's missing"", ""An assassin you've not seen before from a great director."", 'Overrated', 'Another winner from Fincher', 'As Fun as Riding an Escalator', 'Slick, Smart, and Slim', 'Empty', 'more cowbell, less narration', 'Yawn. Blood. Yawn. Gore. Yawn.', 'Completely Underwhelming, Slick Production Foiled by Weak Story', 'A unique thriller to say the least']"
The Blues Brothers,"[""They're On A Mission..."", ""It's all about the blues."", 'One of my Favourite Movies', ""Plot...What Plot...I Just Don't Care"", ""Don't you miss comedies like this?"", ""Utterly ridiculous... but, that's the whole point."", ""Someone found the fountain of youth and doused this baby in it, 'cause it sure ain't getting old"", ""Quite possibly John Landis's best film"", 'Why Did I Take So Long To Watch This?', 'A classic', 'Nitro and Glycerin', 'A true classic, comedy the way it should be - FUNNY', ""It's all real"", 'NO other movie like it has ever been made! A Permanent CLASSIC!', ""The Blue Brothers at God's service against Cops and neo-Nazi!!!"", 'Why the hell is ""THE BLUES BROTHERS"" not in \'The Top 250?\'', 'had me smile almost all the time', 'One and only - The Blues Brothers', ""A great musical for people who don't like musicals!"", 'Wild ""musical comedy"" offers long-lasting fun and excitement.', '""We\'re on a mission from God""', 'A critique of the criticisms', 'A Wild & Crazy Ride', 'An Eccentric Cult Classic', 'Blame it all on the penguin.']"
The A-Team,"['If you run out of blockbusters, check it out.', 'Face, you have nothing to worry about', 'Fun , entertainment , comedy and noisy action with the nostalgic team', 'we need a sequel, this movie survived the time test, is a joy to watch even after all those years', 'The best film you could ask for from an ""A-Team"" adaptation', 'I LOVE IT WHEN A MOVIE COMES TOGETHER', 'A+Team', 'Overblown, super-exaggerated trash... and I loved every minute', ""A solidly entertaining action movie, just don't think too hard about plausibility."", ""Pity the fool who doesn't enjoy this film"", 'The C-Team', 'Bang', 'Ridiculous action gets tiresome', 'The A-Team in 1,000 words: overkill is underrated', 'The Definition of Dumb Summer Fun', ""It is too bad it wasn't successful enough to warrrant a sequel"", 'The A-Team: a very good B-movie', 'Missing The Goofball Charm', 'A film well worth watching', ""An enjoyable reboot of a classic '80s TV series"", 'I love it when a plan comes together! A Simple, short review.', 'The A-Team', '4 charasmatic leads with good chemistry in service of a noisy, bloated mess of a movie.', 'More like the D-team', 'Fool, why we flying a falling tank?']"
Kingsman: The Golden Circle,"[""This Circle is not quite golden, but it doesn't collapse"", 'Long, Boring and Overrated', 'SILLY SEQUEL: Here are the 10 Top Reasons to watch this crap:', 'Fun, but feels like the fifth film in a franchise struggling to maintain its relevancy, not the follow-up to what was perhaps the most promising new property in Hollywood.', 'Matthew makeths a mess.', 'Great cast, pretty awful movie', 'More satirical spy action hijinks...', 'a hyperbolic, brand-advertising and inordinately smug hotchpotch of a half-baked cash cow', 'Too much CGI and annoying jokes', 'Entertaining, but never quite reaches the heights of its predecessor', 'What a disappointment', 'Not As Good As The Original But Still Entertaining', 'Foul Witless Trivial Overblown Dumb Boring Rot And Piffal', 'Takes The Low Road', ""Doesn't get any worse"", 'A solid follow-up to the 2015 film', 'Lame, Forced comedy fills this instantly forgettable sequel', 'such a bummer!', 'Kingsman The Golden Circle: How is this stuff so good?', 'Lesser sequel', 'I feel like a tornado in a trailer park.', 'Overlong, over flashy CGI driven nonsense', 'Rubbish!!', 'A feel good comedy spy film with lots of adventures', 'Kingsman: The Golden Circle']"
The Bad Guys,"['Rather enjoyable...', ""Surprisingly, It's Not That Bad, Guys"", 'One of the best animated experiences', 'Fun for the entire fam.', 'An animation gem!', 'The Bad Guys taught us one thing; never judge a film by its trailer/poster.', ""Deserves to Be Dreamworks' Next Big Franchise."", 'Fun, character driven movie that works, even if some faults are definitely there', 'Better than Cake', 'Surprisingly good', 'The Bad Guys is good!', 'actually one of...', 'An overnight viral sensation...', 'A Return to Form from DreamWorks!', 'The Style Was So 😫😍', 'Fun, action, laughs, and lots of crime film homages', 'Great animated movie', 'Not Bad for Bad Guys', 'I knew you were good', 'Very fun', ""LISTEN to ME! I'm a 51 year old male and.."", 'Predictable/cliche but watchable.', 'Not bad... get it?', ""The bad guys robbed the box office am I best bad guy you know what I'm saying"", 'I love this film, and a great family film.']"
Game Night,"['Mainstream comedy done right', 'Movie Review: Game Night', ""Better and funnier than we thought it would be. Let's do Game Night!"", 'Winning Comedy', 'A classic comedy thriller with brilliant dialogue and memorable characters.', 'More Entertaining Than The Average Board Game', 'This movie plays its cards right!', 'Funny, funny movie. Rachel McAdams is GREAT!', 'a small surprise', 'A legitimately hilarious comedy with surprisingly strong peripherals and plot, Game Night is way too much fun to not love', 'A vulgar, violent, solidly R-rated comedy that is nevertheless sophisticated rather than gross.', ""We Couldn't Stop Laughing"", 'Surprisingly funny', 'Game set and match.', 'Fun film', 'An amusing adults-only comedy, but no game changer.', 'Fun, at times genuinely funny, and always entertaining.', ""Don't listen to some of these bad reviews...it was a pretty good comedy"", '""Game Night"" is a Winner!', 'Hilarious, stupid, and a lot of fun.', 'Jason Bateman Shines', 'I Do Love A Good ""Game Night""?', ""A night of games one doesn't want to miss"", 'Funny With a Hint of Unpredictability', 'Hilarious to watch again and again!']"
Enola Holmes,"['For fans of Millie Bobby Brown', 'Not for Sherlock Holmes fans, but not bad either.', 'A cute little movie', 'Perfect for a 15 yro girl', 'Am I the only man who love this movie?', 'It could have been so much more...', 'Fun, sweet and uplifting', 'Oh the irony......', 'Not the Target Audience', 'A charming film - good for the whole family!', 'A Bit Lost', ""Millie Bobby Brown solves a dull mystery in Netflix's disappointing Enola Holmes"", 'family entertainment', ""It's good family fun, not to be taken seriously."", 'Teen Version of the Guy Ritchie genre', 'Please make a sequel', 'A fast-paced but forgettable addition to the Sherlock cannon', 'Millie as Enola', ""I'm a woman"", 'Not one for purists', 'A bit boring', 'Enola Holmes', '""Fun for the family (not for the fandom).""', 'Breaking The Fourth Wall and Feminism', 'This should be rated higher!']"
DC League of Super-Pets,"['Sure To Be A Fan Favorite - Full Of Classic Crime Fighting Battles As Well As Heartfelt Messages', 'I recently turned 30 a few days ago and I really enjoyed League of Super-Pets', 'I think adults will like it too', ""Keeping in mind it's not for adults, its a great children's film."", 'Surprisingly competent and charming', 'Multi-Paws', 'A lot of fun!', 'Superpets Review: Such a Surprise', 'A fun movie to watch.', ""Family's Best Friend For Fun Movie Going"", 'What You Would Expect.', 'This is how to do the DCU', 'Fun and cute', 'One of the Best DC Films Ever', 'The Secret lives of Pets gets mixed in the DC Universe', 'Funny as hell', 'Pets Taking Over For The Heroes', 'Fun for adults as well as kids!', ""I'm not so sure that a guinea pig could make anyone a . . ."", 'So much love for Super-Pets!!!', 'Weak', 'Fun film and a great time!', 'dc stirk again!!', 'The Krypto movie that needed to be made', ""Big laughs, big fun, and lots of heart, a poor man's Secret Life of Pets this is not.""]"
